generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-0.9099999999999999,0.2508855,0.0021019396,-0.13808498,0.0,1.1320251,2.4999968e-05,0.0,0.0,0.0,0.0
5,-0.35999999999999993,0.20577726,0.060454153,-0.1383168,0.0,1.176603,2.4999812e-05,0.0,0.3333333333333333,0.0,0.0
10,-0.33727272727272717,0.16227826,0.3018618,-0.13749813,0.0,2.1511436,2.4999656e-05,0.0,0.2727272727272727,0.0,0.0
15,-0.42874999999999996,0.17407727,0.00091818266,-0.13828956,0.0,0.80469143,2.49995e-05,0.0,0.25,0.0,0.0
20,-0.45285714285714285,0.23156732,0.0028004511,-0.13808313,0.0,1.1594765,2.4999343e-05,0.047619047619047616,0.19047619047619047,0.0,0.0
25,-0.43307692307692314,0.20282812,0.028487876,-0.13850187,0.0,1.0052916,2.4999186e-05,0.038461538461538464,0.15384615384615385,0.0,0.0
30,-0.44870967741935497,0.16681287,0.25972956,-0.13857965,0.0,2.1958065,2.499903e-05,0.03225806451612903,0.12903225806451613,0.0,0.0
35,-0.44333333333333347,0.14526543,0.0009110076,-0.13612953,0.0,0.8086791,2.4998873e-05,0.027777777777777776,0.1111111111111111,0.0,0.0
40,-0.44658536585365866,0.27557987,0.007033671,-0.13803835,0.0,1.2563877,2.4998717e-05,0.024390243902439025,0.0975609756097561,0.0,0.0
45,-0.41217391304347845,-0.026252761,0.005494334,-0.1376286,0.0,0.6530278,2.499856e-05,0.021739130434782608,0.08695652173913043,0.0,0.0
50,-0.3860000000000003,0.22782955,0.026430521,-0.13803236,0.0,1.2014179,2.4998404e-05,0.02,0.08,0.0,0.0
55,-0.38800000000000034,0.22182336,0.012567865,-0.13688801,0.0,1.0881387,2.4998248e-05,0.02,0.04,0.0,0.0
60,-0.3720000000000001,0.14148486,0.013255231,-0.13720615,0.0,0.7637112,2.4998091e-05,0.02,0.02,0.0,0.0
65,-0.344,0.2481384,0.025727902,-0.13811588,0.0,1.0358627,2.4997935e-05,0.04,0.02,0.0,0.0
70,-0.324,0.2876878,0.0028421069,-0.13780458,0.0,1.1559815,2.4997778e-05,0.02,0.04,0.0,0.0
75,-0.2980000000000001,0.18978338,0.02281891,-0.13724835,0.0,0.8478515,2.4997622e-05,0.04,0.06,0.0,0.0
80,-0.23579999999999998,0.12911133,0.005438576,-0.13820003,0.0,0.77062494,2.4997466e-05,0.04,0.1,0.0,0.0
85,-0.21780000000000002,0.50082517,0.05510661,-0.1383268,0.0,1.3257215,2.4997309e-05,0.04,0.12,0.0,0.0
90,-0.20980000000000001,0.09745019,0.005227786,-0.1360385,0.0,0.69691914,2.4997153e-05,0.04,0.12,0.0,0.0
95,-0.2238,-0.063344136,0.11833563,-0.13636021,0.0,1.7333479,2.4996994e-05,0.04,0.16,0.0,0.0
100,-0.22979999999999998,0.14625643,0.009660324,-0.13506797,0.0,0.8607639,2.4996838e-05,0.04,0.18,0.0,0.0
